castFemalePercentage,crewFemalePercentage,budget_x,revenue_x,movieDatasetRevenueRatio,budget_y,revenue_y,bechdelRevenueRatio,vote_average,vote_count,runtime,binary,nowomen,notalk,men,dubious,ok,clean_test
11.1,15.0,18000000,23000000.0,1.2777777778,18000000,46760406.0,2.5978003333,7.7,968.0,129.0,0,0,1,0,0,0,notalk
42.4,17.9,4000000,38251425.0,9.56285625,4000000,76502850.0,19.1257125,7.8,1044.0,93.0,1,0,0,0,0,1,ok
8.7,0.0,14000000,85000000.0,6.0714285714,12000000,96458013.0,8.03816775,7.9,623.0,149.0,0,1,0,0,0,0,nowomen
22.2,17.6,5500000,159616327.0,29.0211503636,5500000,319232654.0,58.0423007273,7.9,639.0,129.0,0,0,1,0,0,0,notalk
33.3,25.0,6400000,78371200.0,12.2455,6400000,116038062.0,18.1309471875,7.4,4208.0,108.0,0,0,0,1,0,0,men
14.3,9.1,16400000,235860116.0,14.3817143902,16400000,335360116.0,20.448787561,8.1,2786.0,129.0,0,0,1,0,0,0,notalk
12.5,28.6,19000000,44017374.0,2.3167038947,19000000,88034748.0,4.6334077895,8.1,3890.0,144.0,0,0,0,1,0,0,men
7.7,15.4,8000000,52287414.0,6.53592675,8000000,104574828.0,13.0718535,7.8,1568.0,89.0,0,1,0,0,0,0,nowomen
25.0,14.3,3600000,5923044.0,1.64529,3500000,11846088.0,3.3845965714,7.5,760.0,84.0,0,0,0,0,1,0,dubious
45.5,15.8,15000000,50000000.0,3.3333333333,15000000,100000000.0,6.6666666667,7.8,943.0,183.0,0,0,1,0,0,0,notalk
35.0,22.7,14600000,70906973.0,4.8566419863,14600000,141813946.0,9.7132839726,7.4,2358.0,101.0,0,0,0,1,0,0,men
28.1,16.7,19000000,381109762.0,20.0584085263,19000000,594484624.0,31.2886644211,8.0,6239.0,116.0,0,0,1,0,0,0,notalk
66.7,0.0,8000000,553171.0,0.069146375,8000000,39170.0,0.00489625,7.8,792.0,124.0,0,0,1,0,0,0,notalk
28.6,0.0,16000000,5900000.0,0.36875,16000000,18800000.0,1.175,6.8,642.0,116.0,1,0,0,0,0,1,ok
16.0,16.0,2800000,86273333.0,30.8119046429,2800000,172600000.0,61.6428571429,7.7,880.0,106.0,0,0,0,1,0,0,men
12.9,10.3,48000000,474171806.0,9.8785792917,48000000,671343612.0,13.98632525,7.6,3221.0,127.0,0,1,0,0,0,0,nowomen
4.2,8.3,50000000,159773545.0,3.1954709,55000000,213427174.0,3.8804940727,6.2,1664.0,114.0,0,1,0,0,0,0,nowomen
31.6,25.0,1800000,25504513.0,14.1691738889,35000000,180804632.0,5.1658466286,7.2,1212.0,91.0,0,0,0,1,0,0,men
30.8,14.3,46000000,150000000.0,3.2608695652,46000000,242027888.0,5.2614758261,7.0,671.0,111.0,1,0,0,0,0,1,ok
18.8,0.0,60000000,129832389.0,2.16387315,60000000,190424778.0,3.1737463,5.5,583.0,89.0,0,0,1,0,0,0,notalk
13.3,11.8,70000000,240031094.0,3.4290156286,70000000,357137903.0,5.1019700429,6.6,1920.0,124.0,0,0,0,0,1,0,dubious
25.0,11.8,35000000,139000000.0,3.9714285714,35000000,221258456.0,6.3216701714,6.2,541.0,132.0,0,0,1,0,0,0,notalk
22.7,8.3,27000000,96900000.0,3.5888888889,27000000,171788996.0,6.3625554074,6.7,421.0,113.0,0,0,0,1,0,0,men
18.2,0.0,30000000,70200000.0,2.34,30000000,122410049.0,4.0803349667,5.6,384.0,107.0,0,0,1,0,0,0,notalk
23.1,7.7,12000000,96800000.0,8.0666666667,12000000,176712963.0,14.72608025,7.3,688.0,113.0,0,0,0,0,1,0,dubious
23.1,10.0,18000000,87000000.0,4.8333333333,18000000,163471046.0,9.0817247778,6.4,443.0,105.0,0,0,1,0,0,0,notalk
27.3,20.0,80000000,280000000.0,3.5,80000000,429657926.0,5.370724075,6.6,1706.0,126.0,0,1,0,0,0,0,nowomen
16.7,0.0,13000000,44726644.0,3.4405110769,13000000,89453288.0,6.8810221538,6.6,262.0,107.0,0,0,1,0,0,0,notalk
54.5,8.3,6000000,181813770.0,30.302295,6000000,569327540.0,94.8879233333,7.2,1633.0,110.0,1,0,0,0,0,1,ok
