castFemalePercentage,crewFemalePercentage,budget,revenue,revenueRatio,directorGender,vote_average,vote_count,runtime,releaseYear,releaseTimeOfYear,original_language,popularity,original_title,title
50.0,25.0,0,0.0,-1.0,0,5.4,11.0,92.0,1996.0,0.1831,en,2.891918,If Lucy Fell,If Lucy Fell
33.3,0.0,25000000,6278139.0,0.25112556,0,5.1,7.0,113.0,1995.0,0.7425,en,1.522412,Steal Big Steal Little,Steal Big Steal Little
30.0,0.0,0,0.0,-1.0,0,5.2,21.0,100.0,1996.0,0.2213,en,1.317878,Race the Sun,Race the Sun
0.0,0.0,0,0.0,-1.0,0,7.0,7.0,90.0,1992.0,0.929,en,0.86539,The Boys of St. Vincent,The Boys of St. Vincent
50.0,0.0,40000000,70100000.0,1.7525,0,5.4,139.0,117.0,1992.0,0.4945,en,6.506983,Boomerang,Boomerang
50.0,45.5,7000000,14702438.0,2.1003482857,0,6.3,66.0,92.0,1996.0,0.2213,en,5.579088,Flirting with Disaster,Flirting with Disaster
38.5,15.4,17000000,0.0,-1.0,0,4.4,105.0,95.0,1994.0,0.8164,en,6.252377,The NeverEnding Story III,The Neverending Story III: Escape from Fantasia
37.5,35.7,0,0.0,-1.0,0,7.0,2.0,95.0,1996.0,0.1066,en,0.699066,Pie in the Sky,Pie in the Sky
66.7,62.5,0,0.0,-1.0,1,5.6,9.0,99.0,1995.0,0.0,en,2.197439,Angela,Angela
21.1,0.0,50000000,9851610.0,0.1970322,2,5.1,45.0,95.0,1995.0,0.7808,en,11.418917,Jade,Jade
12.8,26.3,0,0.0,-1.0,0,5.6,110.0,92.0,1996.0,0.1639,en,5.184977,Down Periscope,Down Periscope
100.0,100.0,0,0.0,-1.0,2,6.5,2.0,97.0,1995.0,0.6849,en,0.276401,From the Journals of Jean Seberg,From the Journals of Jean Seberg
50.0,0.0,0,209935.0,-1.0,0,3.8,2.0,86.0,1995.0,0.7041,en,0.540436,Man of the Year,Man of the Year
54.5,33.3,0,0.0,-1.0,0,7.2,5.0,91.0,1995.0,0.6411,en,0.370342,The Neon Bible,The Neon Bible
36.4,16.7,60000000,0.0,-1.0,0,5.9,51.0,119.0,1996.0,0.1639,en,3.402749,Up Close & Personal,Up Close & Personal
30.0,20.0,31000000,185260553.0,5.976146871,0,6.7,303.0,117.0,1996.0,0.1831,en,6.49968,The Birdcage,The Birdcage
20.0,0.0,0,0.0,-1.0,2,7.0,2.0,125.0,1995.0,0.7781,en,0.918504,Gospa,Virgin Mary
66.7,0.0,0,0.0,-1.0,0,6.3,23.0,98.0,1995.0,0.6027,en,2.039196,The Brothers McMullen,The Brothers McMullen
33.3,17.6,19000000,141407024.0,7.4424749474,0,6.5,1729.0,118.0,1995.0,0.263,en,9.262184,Bad Boys,Bad Boys
25.0,0.0,0,0.0,-1.0,0,5.0,31.0,81.0,1995.0,0.6466,en,2.375865,The Amazing Panda Adventure,The Amazing Panda Adventure
22.2,40.0,0,0.0,-1.0,0,7.2,472.0,102.0,1995.0,0.3014,en,7.415144,The Basketball Diaries,The Basketball Diaries
