noDataCast,femaleCast,maleCast,noDataCrew,femaleCrew,maleCrew,tmdbId
1,1,2,2,0,4,40651
2,3,10,2,0,5,36915
7,3,11,9,1,6,40507
4,1,21,9,4,17,9802
0,2,5,11,5,7,25697
18,1,4,23,2,6,21588
1,4,11,53,8,29,664
5,6,9,2,1,8,11867
5,2,1,0,1,2,47119
4,2,2,1,0,0,314352
15,2,5,19,0,12,9323
0,3,7,1,0,7,10280
5,7,26,2,0,11,10535
1,1,3,5,1,2,124613
0,1,1,14,1,5,532
2,2,7,4,0,3,26744
5,4,13,3,1,3,16299
5,6,12,48,4,11,10547
3,3,7,1,0,2,245268
10,1,10,14,1,13,935
4,2,5,2,0,2,55613
3,0,0,0,0,2,215107
3,2,2,17,1,7,41007
3,7,5,0,0,2,35645
4,1,7,2,1,1,110465
5,4,1,3,0,0,255546
2,4,5,5,0,6,40751
2,0,0,1,0,0,275096
0,0,0,1,0,0,85778
7,1,5,7,0,8,11101
1,3,11,1,0,5,9826
2,7,9,13,3,12,9879
1,2,5,0,0,1,63564
6,4,4,0,0,2,22621
1,5,4,0,0,5,7095
4,8,11,1,8,5,26890
0,4,7,1,0,4,46732
11,0,4,1,0,1,124633
14,0,0,5,0,0,202425
0,0,0,1,0,0,196940
6,0,1,3,0,0,77771
9,0,0,2,0,0,181083
2,7,9,24,2,15,41225
0,0,0,1,0,1,188589
0,1,4,0,0,2,87190
5,6,12,30,1,13,627
0,24,34,1,9,8,32872
17,8,44,45,4,14,602
3,4,10,1,0,3,14553
1,2,7,5,6,10,9566
2,4,11,18,3,14,10545
3,4,10,2,0,9,9894
8,9,16,12,2,17,11543
0,3,15,90,5,32,9268
0,0,0,2,0,0,52059
5,4,12,0,1,10,9327
0,2,2,0,1,0,123763
2,1,4,3,0,3,81949
0,0,0,0,0,1,42005
0,0,1,1,0,0,124306
2,0,1,1,0,1,183955
0,1,7,1,0,2,44535
4,0,0,1,0,2,44495
7,2,2,2,0,1,78285
2,5,11,66,7,20,11228
0,6,10,17,5,9,10779
3,6,12,12,3,9,26748
1,4,2,0,2,1,38223
3,3,10,2,1,7,9294
2,4,4,4,6,2,49963
0,5,3,1,1,6,11363
0,7,16,0,1,12,1645
0,0,3,9,24,91,31546
11,2,1,3,1,2,77056
1,2,6,20,5,6,36344
1,2,12,0,0,2,18550
0,1,3,9,4,15,11511
2,1,2,2,2,0,172198
1,2,7,4,1,6,34170
2,0,5,1,0,0,281085
1,3,6,5,2,3,109478
1,1,2,4,2,3,124645
4,5,6,1,3,8,12606
3,2,2,0,0,1,69895
8,2,11,21,0,7,35206
5,0,1,1,0,0,151489
6,2,4,7,0,7,4837
2,1,6,4,0,4,12632
7,1,2,1,0,2,9098
2,3,3,0,0,1,282919
1,2,1,1,0,0,124614
1,2,6,2,0,2,18975
2,2,5,2,0,5,11962
4,11,9,42,7,23,2925
1,0,4,2,0,1,28628
13,5,20,2,3,11,3595
1,4,7,1,0,9,9308
4,0,2,2,0,2,92381
1,7,6,2,1,0,18555
44,6,25,7,0,16,12123
0,5,4,2,1,6,10830
3,9,7,23,8,10,3573
3,4,8,0,0,12,10546
1,5,5,0,0,2,18862
5,1,4,6,1,6,31417
3,4,6,16,5,9,9431
0,0,0,1,0,0,124619
5,0,0,1,0,0,297645
3,0,1,3,0,0,48144
34,7,16,1,0,2,46986
0,1,4,6,0,2,144982
0,3,4,2,0,0,47907
1,4,12,14,4,15,10061
9,2,4,4,0,4,36266
1,6,13,8,3,16,549
2,2,8,17,3,12,10478
0,2,3,1,0,3,66634
5,1,3,13,0,2,116690
4,1,3,1,2,0,213917
19,1,4,1,0,0,145925
0,0,0,0,0,1,100914
16,7,35,18,1,23,238
8,2,12,9,1,5,159
7,2,5,6,0,4,11134
4,3,0,0,2,0,88224
16,3,0,11,0,1,132641
3,3,5,3,1,2,42758
3,4,7,4,7,4,9303
2,3,7,3,2,7,23945
3,2,3,3,0,0,37820
0,4,4,3,2,5,22479
1,3,3,2,2,6,9054
6,9,7,10,3,0,241058
0,1,2,3,0,5,11985
3,2,5,0,0,4,10232
1,3,3,1,0,3,59569
2,1,2,1,0,0,410921
9,2,4,2,0,5,38955
4,3,2,2,2,2,110513
0,0,1,0,0,2,114089
7,6,14,64,4,19,11015
2,2,13,3,2,10,9306
2,2,7,3,0,8,12559
5,1,6,12,3,7,58770
0,1,1,0,0,1,124851
1,6,2,2,2,8,3587
1,2,9,5,2,10,10723
3,6,1,8,2,5,56077
1,3,9,7,0,3,19004
0,1,1,1,0,0,101230
0,2,1,0,0,0,253632
7,3,7,6,1,10,10987
1,3,5,0,0,4,44705
1,3,9,3,0,0,20318
4,2,5,13,0,4,43596
4,2,0,4,0,1,79782
4,2,3,9,0,4,26933
7,2,15,11,0,10,27854
10,7,11,3,0,10,981
3,9,7,5,1,17,872
4,4,6,3,1,10,2769
4,5,4,3,1,2,13320
4,4,8,3,1,8,164
0,5,5,8,1,19,426
4,9,7,1,1,14,567
4,2,11,3,0,8,3078
23,9,13,9,0,15,13528
2,3,7,5,1,11,28288
36,10,44,17,0,18,213
4,7,12,20,0,8,284
19,7,18,30,0,10,239
10,0,17,17,0,10,4808
43,8,54,12,1,20,289
1,3,18,9,0,14,963
5,2,3,1,0,8,11113
13,7,17,12,1,12,6620
16,3,10,11,1,16,804
18,7,18,3,0,1,26531
2,7,5,6,2,9,909
5,4,3,4,2,14,630
73,17,43,32,0,16,770
21,13,23,2,0,7,31044
29,10,20,16,1,14,599
98,11,42,18,0,17,15
43,5,12,8,0,11,62
2,2,5,2,1,2,121357
2,11,8,12,2,11,705
61,55,2,12,1,15,22490
7,4,14,18,2,17,223
54,8,39,1,2,7,25670
24,8,26,8,2,17,303
1,2,11,0,0,6,4174
2,3,3,11,1,18,8356
2,4,7,1,2,7,381
1,3,8,2,1,6,20758
2,5,10,5,0,12,29376
23,10,21,1,0,12,1859
2,2,6,5,0,1,18299
4,3,4,5,2,6,17281
2,4,2,3,0,3,64382
4,2,15,2,0,10,10907
23,3,18,5,0,7,32093
0,15,27,8,2,18,1939
6,6,7,8,2,12,22292
1,3,5,4,0,8,3598
2,3,3,8,0,12,3080
3,2,6,0,0,8,198
0,4,6,3,0,7,13562
11,10,10,1,2,11,1712
28,6,29,11,1,13,220
25,7,30,9,2,10,3529
6,5,24,10,0,9,3085
